Gene_ID	KO_ID	Description	Pathway	Pathway Function	Major_Group
evm.model.CP144694.1_RagTag.3388	K00844	HK; hexokinase [EC:2.7.1.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.1956	K00844	HK; hexokinase [EC:2.7.1.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.3297	K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.3883	K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144689.1_RagTag.106	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.2993	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.851	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.231	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1502	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.2832	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.2463	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.3351	K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.374	K00895	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.2837	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.307	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.3216	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.249	K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144694.1_RagTag.3259	K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.2829	K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.409	K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.2049	K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.1395	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.2516	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.1584	K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.327	K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.2360	K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.724	K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.3944	K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.4205	K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.3603	K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1435	K01006	ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.1399	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.166	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.contig_2181.3	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.contig_2516.6	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.3482	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.82	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.648	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.3822	K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.2147	K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1315	K00382	DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1269	K00382	DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.96	K00382	DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1966	K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.108	K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.contig_839.5	K01568	PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.2197	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.3064	K18857	ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.59	K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.2645	K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.3105	K13979	yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
