Gene_Name	GO_ID	GO_Name	GO_Annotation	GO_Aspect
evm.model.CP144700.1_RagTag.5895	GO:0004721	phosphoprotein phosphatase activity	Catalysis of the reaction: a phosphoprotein + H2O = a protein + phosphate. Together with protein kinases, these enzymes control the state of phosphorylation of cellular proteins and thereby provide an important mechanism for regulating cellular activity.	molecular_function
evm.model.CP144698.1_RagTag.2168	GO:0000149	SNARE binding	Binding to a SNARE (soluble N-ethylmaleimide-sensitive factor attached protein receptor) protein.	molecular_function
evm.model.CP144700.1_RagTag.2416	GO:0005737	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	cellular_component
evm.model.CP144694.1_RagTag.736	GO:0003333	amino acid transmembrane transport	The process in which an amino acid is transported across a membrane.	biological_process
evm.model.CP144700.1_RagTag.4819	GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces NAD or NADP.	molecular_function
evm.model.CP144694.1_RagTag.295	GO:0048544	recognition of pollen	A cell recognition process in which pollen is recognized and either accepted or rejected by cells in the stigma.	biological_process
evm.model.CP144690.1_RagTag.1221	GO:0016787	hydrolase activity	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc.	molecular_function
evm.model.CP144696.1_RagTag.2519	GO:0045037	protein import into chloroplast stroma	The targeting and import of proteins into the chloroplast stroma. Import depends on ATP hydrolysis catalyzed by stromal chaperones. Chloroplast stromal proteins, such as the S subunit of rubisco, have a N-terminal stromal-import sequence of about 44 amino acids which is cleaved from the protein precursor after import.	biological_process
evm.model.CP144691.1_RagTag.275	GO:0009706	chloroplast inner membrane	The inner, i.e. lumen-facing, lipid bilayer of the chloroplast envelope; also faces the chloroplast stroma.	cellular_component
evm.model.CP144696.1_RagTag.2730	GO:0048205	COPI coating of Golgi vesicle	The addition of COPI proteins and adaptor proteins to Golgi membranes during the formation of transport vesicles, forming a vesicle coat.	biological_process
evm.model.CP144700.1_RagTag.854	GO:0003714	transcription corepressor activity	A transcription coregulator activity that represses or decreases the transcription of specific gene sets via binding to a DNA-binding transcription factor at a specific genomic locus, either on its own or as part of a complex. Corepressors often act by altering chromatin structure and modifications. For example, one class of transcription corepressors modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators.	molecular_function
evm.model.CP144700.1_RagTag.5816	GO:0005737	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	cellular_component
evm.model.CP144700.1_RagTag.348	GO:0003777	microtubule motor activity	A motor activity that generates movement along a microtubule, driven by ATP hydrolysis.	molecular_function
evm.model.contig_727.2	GO:0016491	oxidoreductase activity	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.	molecular_function
evm.model.CP144694.1_RagTag.275	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144693.1_RagTag.14	GO:0000123	histone acetyltransferase complex	A protein complex that possesses histone acetyltransferase activity.	cellular_component
evm.model.CP144700.1_RagTag.5533	GO:0071013	catalytic step 2 spliceosome	A spliceosomal complex that contains three snRNPs, including U5, bound to a splicing intermediate in which the first catalytic cleavage of the 5' splice site has occurred. The precise subunit composition differs significantly from that of the catalytic step 1, or activated, spliceosome, and includes many proteins in addition to those found in the associated snRNPs.	cellular_component
evm.model.CP144699.1_RagTag.209	GO:0009941	chloroplast envelope	The double lipid bilayer enclosing the chloroplast and separating its contents from the rest of the cytoplasm; includes the intermembrane space.	cellular_component
evm.model.CP144699.1_RagTag.4036	GO:0048364	root development	The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo.	biological_process
evm.model.CP144691.1_RagTag.548	GO:0005615	extracellular space	That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.	cellular_component
evm.model.CP144692.1_RagTag.4392	GO:0016787	hydrolase activity	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc.	molecular_function
evm.model.CP144699.1_RagTag.3220	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group act as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.	molecular_function
evm.model.CP144700.1_RagTag.3818	GO:0006629	lipid metabolic process	The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.	biological_process
evm.model.CP144692.1_RagTag.4193	GO:0005524	ATP binding	Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.	molecular_function
evm.model.CP144699.1_RagTag.2612	GO:0005737	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	cellular_component
evm.model.contig_3121.3	GO:0010088	phloem development	The formation of the principal food-conducting tissue of a vascular plant.	biological_process
evm.model.CP144696.1_RagTag.680	GO:0016788	hydrolase activity, acting on ester bonds	Catalysis of the hydrolysis of any ester bond.	molecular_function
evm.model.CP144691.1_RagTag.9	GO:0003723	RNA binding	Binding to an RNA molecule or a portion thereof.	molecular_function
evm.model.CP144690.1_RagTag.1503	GO:0005524	ATP binding	Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.	molecular_function
evm.model.CP144696.1_RagTag.98	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.CP144696.1_RagTag.450	GO:0015297	antiporter activity	Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported in opposite directions in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy. The reaction is: solute A(out) + solute B(in) = solute A(in) + solute B(out).	molecular_function
evm.model.CP144698.1_RagTag.565	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Any process involved in the maturation of a precursor Small SubUnit (SSU) ribosomal RNA (rRNA) molecule into a mature SSU-rRNA molecule from the pre-rRNA molecule originally produced as a tricistronic rRNA transcript that contains the Small Subunit (SSU) rRNA, 5.8S rRNA, and the Large Subunit (LSU) in that order from 5' to 3' along the primary transcript.	biological_process
evm.model.CP144693.1_RagTag.2232	GO:0009507	chloroplast	A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.	cellular_component
evm.model.CP144695.1_RagTag.635	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.CP144698.1_RagTag.836	GO:0016036	cellular response to phosphate starvation	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of deprivation of phosphate.	biological_process
evm.model.CP144695.1_RagTag.669	GO:0005794	Golgi apparatus	A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways.	cellular_component
evm.model.CP144691.1_RagTag.1139	GO:0000993	RNA polymerase II complex binding	Binding to an RNA polymerase II core enzyme, a multisubunit eukaryotic nuclear RNA polymerase typically composed of twelve subunits.	molecular_function
evm.model.CP144696.1_RagTag.469	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144690.1_RagTag.3548	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144699.1_RagTag.874	GO:0017022	myosin binding	Binding to a myosin; myosins are any of a superfamily of molecular motor proteins that bind to actin and use the energy of ATP hydrolysis to generate force and movement along actin filaments.	molecular_function
evm.model.CP144695.1_RagTag.3670	GO:0048544	recognition of pollen	A cell recognition process in which pollen is recognized and either accepted or rejected by cells in the stigma.	biological_process
evm.model.CP144690.1_RagTag.2863	GO:0016757	glycosyltransferase activity	Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).	molecular_function
evm.model.CP144697.1_RagTag.2083	GO:0005198	structural molecule activity	The action of a molecule that contributes to the structural integrity of a complex.	molecular_function
evm.model.CP144698.1_RagTag.554	GO:0003680	minor groove of adenine-thymine-rich DNA binding	Binding to a DNA structure formed by the minor groove of adenine-thymine-rich DNA regions. Examples of proteins having this function are AT-rich interaction domain (ARID)-containing proteins.	molecular_function
evm.model.CP144692.1_RagTag.4232	GO:0004176	ATP-dependent peptidase activity	Catalysis of the hydrolysis of peptide bonds, driven by ATP hydrolysis.	molecular_function
evm.model.CP144696.1_RagTag.2349	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144696.1_RagTag.1246	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.	molecular_function
evm.model.CP144700.1_RagTag.499	GO:0008270	zinc ion binding	Binding to a zinc ion (Zn).	molecular_function
evm.model.CP144692.1_RagTag.3461	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144690.1_RagTag.1316	GO:0004722	protein serine/threonine phosphatase activity	Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate.	molecular_function
evm.model.CP144695.1_RagTag.754	GO:0003779	actin binding	Binding to monomeric or multimeric forms of actin, including actin filaments.	molecular_function
evm.model.CP144697.1_RagTag.1942	GO:0005839	proteasome core complex	A multisubunit barrel shaped endoprotease complex, which is the core of the proteasome complex.	cellular_component
evm.model.CP144694.1_RagTag.1118	GO:0005777	peroxisome	A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism.	cellular_component
evm.model.CP144693.1_RagTag.518	GO:0004714	transmembrane receptor protein tyrosine kinase activity	Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate.	molecular_function
evm.model.CP144691.1_RagTag.1935	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144697.1_RagTag.1525	GO:0003333	amino acid transmembrane transport	The process in which an amino acid is transported across a membrane.	biological_process
evm.model.CP144695.1_RagTag.917	GO:0005777	peroxisome	A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism.	cellular_component
evm.model.CP144690.1_RagTag.402	GO:0005737	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	cellular_component
evm.model.CP144699.1_RagTag.873	GO:0017022	myosin binding	Binding to a myosin; myosins are any of a superfamily of molecular motor proteins that bind to actin and use the energy of ATP hydrolysis to generate force and movement along actin filaments.	molecular_function
evm.model.CP144699.1_RagTag.3918	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144691.1_RagTag.1348	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	Catalysis of the hydrolysis of any O-glycosyl bond.	molecular_function
evm.model.CP144699.1_RagTag.1140	GO:0006629	lipid metabolic process	The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.	biological_process
evm.model.CP144691.1_RagTag.920	GO:0000932	P-body	A focus in the cytoplasm where mRNAs may become inactivated by decapping or some other mechanism. Protein and RNA localized to these foci are involved in mRNA degradation, nonsense-mediated mRNA decay (NMD), translational repression, and RNA-mediated gene silencing.	cellular_component
evm.model.CP144694.1_RagTag.939	GO:0007131	reciprocal meiotic recombination	The cell cycle process in which double strand breaks are formed and repaired through a single or double Holliday junction intermediate. This results in the equal exchange of genetic material between non-sister chromatids in a pair of homologous chromosomes. These reciprocal recombinant products ensure the proper segregation of homologous chromosomes during meiosis I and create genetic diversity.	biological_process
evm.model.CP144691.1_RagTag.1421	GO:0004351	glutamate decarboxylase activity	Catalysis of the reaction: L-glutamate = 4-aminobutanoate + CO2.	molecular_function
evm.model.CP144698.1_RagTag.463	GO:0016779	nucleotidyltransferase activity	Catalysis of the transfer of a nucleotidyl group from one compound (donor) to another (acceptor).	molecular_function
